지구명,위치,시설명,표지판설치,위험요인,일최대예상탐방객,대피계획인원,대피장소,구조대편성 및 구조장비현황,통제시설
가라산 탐방로,가라산 뫼바위 전망대,가라산 뫼바위 전망대,1,추락위험,0,0,,,
지심도 선착장 ~ 해안선전망대,지심도 마끝전망대,지심도 마끝전망대,1,추락위험,0,0,,,
지심도 선착장 ~ 해안선전망대,지심도 샛끝전망대,지심도 샛끝전망대,1,추락,0,0,,,
가라산 탐방로,가라산 마늘바위전망대,가라산 마늘바위전망대,1,추락위험,0,0,,,
한산지구 소매물도 탐방로,소매물도 탐방로 망태봉하부전망대,망태봉하부전망대,2,추락사고,0,0,소매물도 선착장,없음,없음
한산지구 대매물도 탐방로,대매물도 탐방로 당금삼거리 상단100m,당금삼거리 상단100m,1,추락사고,0,0,대항마을 선착장,없음,없음
한산지구 소매물도 탐방로,소매물도 탐방로 등대섬전망대,등대섬전망대,2,추락사고,0,0,소매물도 선착장,없음,안전난간
한산지구 비진도 탐방로,비진도 탐방로 노루여전망대 하단 50m지점,노루여전망대 하단 50m,1,추락사고,0,0,비진도 선착장,없음,없음
한산지구 비진도 탐방로,비진도 탐방로 노루여전망대,노루여전망대,1,추락사고,0,0,비진도 선착장,없음,안전난간
한산지구 비진도 탐방로,비진도 탐방로 미인전망대,미인전망대,1,추락사고,0,0,비진도 선착장,없음,안전난간
한산지구 소매물도 탐방로,소매물도 탐방로 등대섬정상,등대섬정상,0,추락사고,0,0,등대섬 선착장,없음,안전난간(공원관할 시설물 X)
토함산,경북 경주시 암곡동 산11,탐방로,2,집중호우로 인한 고립,1000,1000,암곡 주차장,"국립공원, 경주소방서, 차량, 무전기, 손전등, 응급처치세트, 로프, 메가폰 등",암곡 탐방지원센터 자동통제시스템
토함산,경북 경주시 암곡동 산17,탐방로,2,집중호우로 인한 고립,1000,1000,암곡 주차장,"국립공원, 경주소방서, 차량, 무전기, 손전등, 응급처치세트, 로프, 메가폰 등",암곡 탐방지원센터 자동통제시스템
월정지구,동대산~두로봉(6.7km),,4,폭설로 인한 탐방객 고립 및 탐방로 결빙,20,20,"북대, 진고개 휴게소",구조대 4명 및 구조장비 1식,탐방로 입구 통제
소금강지구,소금강~노인봉(9.6km),,4,폭설로 인한 탐방객 고립 및 탐방로 결빙,100,97,"노인봉대피소, 금강사",구조대 2명 및 구조장비 1식,탐방로 입구 통제
계방산지구,계방산정상~주목군락지(1.5km),,4,폭설로 인한 탐방객 고립,23,23,운두령,구조대 2명 및 구조장비 1식,탐방로 입구 통제
수유,구천계곡,,7,침수 고립,0,0,,,
산성,문수봉초입~청수동암문,,1,침수 고립,0,0,,,
산성,숨은벽구멍바위~호랑이굴,,5,침수 고립,0,0,,,
산성지구,진관공원지킴터 상단 1.5km,없음,6,침수 고립,0,0,,,
산성,대동사~약수암,없음,3,침수 고립,0,0,,,
구기,구기터널지킴터 상단 1.1km(향로봉 방향),,3,침수 고립,0,0,,,
소금강지구,무릉계~노인봉,구룡폭포 하단 200m,2,추락,100,100,"노인봉대피소, 금강사",구조대 및 구조장비 1식,철계단 1개소
소금강지구,무릉계~노인봉,삼선암 상단,2,추락,100,100,"노인봉대피소, 금강사",구조대 및 구조장비 1식,없음
소금강지구,무릉계~노인봉,식당암,4,추락,100,100,"노인봉대피소, 금강사",구조대 및 구조장비 1식,통제로프 1개소
소금강지구,무릉계~노인봉,십자소 하단,2,추락,100,100,"진고개, 노인봉대피소",구조대 및 구조장비 1식,통제난간 1개소
소금강지구,무릉계~노인봉,구룡폭포,4,추락,100,100,"금강사, 노인봉대피소",구조대 및 구조장비 1식,통제난간 1개소
적상지구,송대폭포 하단 300m,치목 ~ 안국사 구간 /적상지구,3,계곡 추락 위험,500,50,안국사," 국립공원 5명, 119구조대 7명,  다목적 들것 1, 로프 1, 헤드랜턴 5개등","난간, 로프 등"
구룡지구,구룡지구 사다리병창 500m전,추락위험,2,추락위험,1000,1000,세렴안전센터,치악산국립공원구조대 및 구조장비 일체,치악산
구룡지구,사다리병창,사다리병창2,2,추락위험,1000,1000,세렴안전센터,국립공원구조대 및 구조장비 일체,세렴안전센터
구룡지구,사다리병창,사다리병창,2,추락위험,1000,1000,세렴안전센터,국립공원구조대 및 구조장비 일체,세렴안전지킴터
구룡지구,사다리병창,사다리병창3,2,추락위험,1000,1000,세렴안전센터,국립공원구조대 및 구조장비일체,세렴안전센터
구룡지구,구룡지구 사다리병창 말등바위,말등바위1,2,추락위험,1000,1000,세렴안전센터,국립공원구조대 및 구조장비 일체,
금대지구,남대봉 정상 200m지점,남대봉1,4,추락위험,100,100,남대봉안전센터,국립공원구조대 및 구조장비 일체,금대분소 및 성남탐방지원센터 
구룡지구,구룡지구 계곡길 중간부,계곡길1,2,추락위험,500,500,세렴안전센터,국립공원구조대 및 구조장비 일체,세렴안전센터
구룡지구,비로봉 정상,비로봉1,4,추락위험,1500,1500,비로봉안전센터,국립공원구조대 및 구조장비 일체,비로봉안전센터 및 세렴안전센터
황골지구,입석사 상단부,입석사1,2,추락위험,500,500,입석사,국립공원구조대 및 구조장비 일체,황골탐방지원센터
황골(곧은재),곧은재 주막거리 상단,곧은재1,2,추락위험,200,200,곧은재탐방지원센터,국립공원구조대  및 구조장비 일체,곧은재탐방지원센터 
구룡지구,구룡지구 사다리병창길 말등바위,말등바위2,2,추락위험,1000,1000,세렴안전센터,국립공원구조대 및 구조장비 일체,세렴안전센터
구기지구,통천문 내리막,통천문 내리막 암릉,0,암릉 추락위험,300,200,사모바위 일원 헬기장," 국립공원구조대 7명 등, AED 등 41개 장비",없음
소백산 도솔봉지구,도솔봉 정상,도솔봉 정상,1,추락 위험,50,10,죽령탐방지원센터,"안전관리반 2, 재난구조대3, 들것 등",통제 난간 설치 1식
백양사 지구,"전남 장성군 북하면 약수리 백양사 지구 백학봉 탐방로(백학1,2)",영천굴 상부 50m 지점,3,추락사고 위험,1000,100,백양사,국립공원구조대 6명/응급처치 및 구조장비 1식,통제난간 36m 추락주의 안내표지판 3개소
남산,이무기능선 일원(천우사 탐방로),이무기능선,2,추락,1000,100,"천우사, 관음사",국립공원구조대 12명,철재난간 1
외설악,"38.1939, 128.4751",울산바위,2,추락,1000,1000,계조암,"국립공원구조대 7명, 119산악구조대, 민간구조대",철제난간
외설악,"38.1942, 128.4748",울산바위,1,추락,500,500,계조암,"국립공원구조대, 119산악구조대, 민간구조대",철제난간
외설악,"38.1943, 128.4743",울산바위,1,추락,500,500,계조암,"국립공원구조대, 119산악구조대, 민간구조대",철제난간
외설악,"38.1351, 128.4643",무너미고개 전망대,2,추락,200,200,희운각대피소,"국립공원구조대, 119산악구조대, 민간구조대",로프난간
외설악,"38.1331, 128.4647",희운각 상단,2,"미끄럼주의, 추락",500,500,희운각대피소,"국립공원구조대, 119산악구조대, 민간구조대",안전로프
외설악,"38.1390, 128.4618",공룡능선 신선봉,3,"추락, 낙상",1000,100,희운각대피소,"국립공원구조대, 119산악구조대, 민간구조대",로프난간
외설악,"38.1392, 128.4614",공룡능선,1,추락,1000,100,희운각대피소,"국립공원구조대, 119산악구조대, 민간구조대",로프난간
외설악,"38.1394, 128.4613",공룡능선,1,추락,1000,100,희운각대피소,"국립공원구조대, 119산악구조대, 민간구조대",로프
외설악,"38.1477, 128.4505",공룡능선,1,"추락, 미끄럼",1000,100,희운각대피소,"국립공원구조대, 119산악구조대, 민간구조대",로프난간
외설악,"38.1555, 128.4385",공룡능선,1,추락,1000,100,오세암,"국립공원구조대, 119산악구조대, 민간구조대",로프난간
외설악,"38.1582, 128.4381",공룡능선,1,추락,1000,100,오세암,"국립공원구조대, 119산악구조대, 민간구조대",로프난간
외설악,"38.1594, 128.4380",비선대~마등령,1,추락,1000,100,비선대,"국립공원구조대, 119산악구조대, 민간구조대",철난간
외설악,"38.1620, 128.4504",비선대~마등령,1,추락,1000,100,비선대,"국립공원구조대, 119산악구조대, 민간구조대",로프
외설악,"38.1616, 128.4495",비선대~마등령,1,추락,1000,100,비선대,"국립공원구조대, 119산악구조대, 민간구조대",로프
오색,"여심폭포 전망대(38.0854, 128.4159)",흘림골,1,추락,500,100,흘림골지킴터,"국립공원구조대, 119산악구조대, 민간구조대",목재난간
오색,"등선대 하향 300m(38.0849, 128.4164)",흘림골,2,추락,500,100,흘림골지킴터,"국립공원구조대, 119산악구조대, 민간구조대",목재난간
오색,"등선대 하향 100m(38.0836, 128.4172)",흘림골,1,추락,500,100,흘림골지킴터,"국립공원구조대, 119산악구조대, 민간구조대",목재난간
오색,"등선대(38.0838, 128.4178)",흘림골,2,추락,500,100,흘림골지킴터,"국립공원구조대, 119산악구조대, 민간구조대",목재난간
오색,"등선폭포 상향 300m(38.0832, 128.4174)",흘림골,1,추락,500,100,흘림골지킴터,"국립공원구조대, 119산악구조대, 민간구조대",목재난간
오색,"등선폭포 상향 100m(38.0812, 128.4281)",흘림골,1,추락,500,100,용소폭포지킴터,"국립공원구조대, 119산악구조대, 민간구조대",목재난간
오색,"용소삼거리 상향 400m(38.0827, 128.4281)",흘림골,1,추락,500,100,용소폭포지킴터,"국립공원구조대, 119산악구조대, 민간구조대",목재난간
오색,"38.1160, 128.4495",서북주능,1,추락,1000,100,중청대피소,"국립공원구조대, 119산악구조대, 민간구조대",없음
오색,"38.1093, 128.4270",서북주능,1,추락,1000,100,중청대피소,"국립공원구조대, 119산악구조대, 민간구조대",없음
오색,"38.1099, 128.4259",서북주능,2,추락,1000,100,한계령지킴터,"국립공원구조대, 119산악구조대, 민간구조대",안전로프
오색,"38.1100, 128.4228",서북주능,1,추락,1000,100,한계령지킴터,"국립공원구조대, 119산악구조대, 민간구조대",없음
오색,"38.1110, 128.4184",서북주능,1,추락,1000,100,한계령지킴터,"국립공원구조대, 119산악구조대, 민간구조대",안전로프
오색,"38.1112, 128.4170",서북주능,1,추락,1000,100,한계령지킴터,"국립공원구조대, 119산악구조대, 민간구조대",안전로프
오색,"38.1113, 128.4144",서북주능,1,추락,1000,100,한계령지킴터,"국립공원구조대, 119산악구조대, 민간구조대",없음
백담,"38.1415, 128.4218",용아장성,5,추락,100,100,"수렴동대피소, 봉정암","국립공원구조대, 119산악구조대, 민간구조대","출입금지 철조망, 안내간판, 감시카메라"
백담,"38.1772, 128.3023",십이선녀탕계곡,0,추락,200,100,남교리지킴터,"국립공원구조대, 119산악구조대, 민간구조대",없음
백담,"38.1756, 128.3038",십이선녀탕계곡,0,추락,200,100,남교리지킴터,"국립공원구조대, 119산악구조대, 민간구조대",없음
백담,"38.1744, 128.3048",십이선녀탕계곡,0,추락,200,100,남교리지킴터,"국립공원구조대, 119산악구조대, 민간구조대",없음
백담,"38.1744, 128.3053",십이선녀탕계곡,1,추락,200,100,남교리지킴터,"국립공원구조대, 119산악구조대, 민간구조대",없음
백담,"38.1747, 128.3071",십이선녀탕계곡,1,추락,200,100,남교리지킴터,"국립공원구조대, 119산악구조대, 민간구조대",없음
백담,"38.1744, 128.3106",십이선녀탕계곡,0,추락,200,100,남교리지킴터,"국립공원구조대, 119산악구조대, 민간구조대",없음
백담,"38.1625, 128.3205",십이선녀탕계곡,1,추락,200,100,남교리지킴터,"국립공원구조대, 119산악구조대, 민간구조대",난간
백담,"38.1450, 128.3211",십이선녀탕계곡,1,추락,200,100,남교리지킴터,"국립공원구조대, 119산악구조대, 민간구조대",난간
백담,"38.1597, 128.3222",십이선녀탕계곡,1,추락,200,100,남교리지킴터,"국립공원구조대, 119산악구조대, 민간구조대",난간
장수대,"38.0979, 128.4067",한계령~장수대,1,"추락,낙석",1000,100,한계령탐방지원센터,"국립공원구조대, 119산악구조대, 민간구조대",안전로프
장수대,"38.1234, 128.3893",한계령~장수대,0,추락,200,100,한계령탐방지원센터,"국립공원구조대, 119산악구조대, 민간구조대",없음
장수대,"38.1234, 128.3877",한계령~장수대,1,추락,200,100,한계령탐방지원센터,"국립공원구조대, 119산악구조대, 민간구조대",없음
장수대,"38.1268, 128.3718",한계령~장수대,1,추락,200,100,장수대분소,"국립공원구조대, 119산악구조대, 민간구조대",없음
장수대,"38.1275, 128.3709",한계령~장수대,1,추락,200,100,장수대분소,"국립공원구조대, 119산악구조대, 민간구조대",없음
장수대,"38.1242, 128.3436",한계령~장수대,2,추락,500,100,장수대분소,"국립공원구조대, 119산악구조대, 민간구조대",목재난간
장수대,"38.1231, 128.3437",한계령~장수대,2,추락,500,100,장수대분소,"국립공원구조대, 119산악구조대, 민간구조대",목재난간
장수대,"38.1226, 128.3446",한계령~장수대,2,추락,200,100,장수대분소,"국립공원구조대, 119산악구조대, 민간구조대",목재난간
남창지구,전남 장성군 북하면 신성리 남창지구 입암산 탐방로(갓바위 정상),갓바위 정상부,3,추락사고,100,100,전대수련원,국립공원구조대 6명/구조장비 1식,통제난간  57.5m 추락주의 안내표지판 3개소
백양사 지구,전남 장성군 북하면 약수리 백양사 지구 백학봉 탐방로(백학봉 정상),백학봉 정상부,3,추락사고 위험,1000,100,백양사,국립공원구조대 6명/응급처치 및 구조장비 1식,통제난간 23m 추락주의 안내표지판 3개소 등
백양사 지구,"전남 장성군 북하면 약수리 백양사 지구 백학봉 탐방로(백학3,4)","학바위 하단 50m 지점(백학3, 4)",7,추락사고 위험,1000,100,백양사,국립공원구조대 6명/응급처치 및 구조장비 1식,"통제난간 100m 추락주의 안내표지판 5개소, 사망사고 지점 알림 안내표지판 2개소 등"
외설악,"38.1631, 128.4847",권금성,6,추락,1000,200,케이블카 스테이션,"국립공원구조대 7명, 119산악구조대, 민간구조대",지킴터 상시근무
남산,신선암 일원(관음사 탐방로),신선암,5,추락,1000,100,칠불암,국립공원구조대 12명,"전망데크 1, 로프난간 1, 철재난간 1"
내변산지구,전북 부안군 변산면 중계리 산9510 일원,탐방로,1,고지대 추락위험,5000,500,내변산주차장,"구조대: 부안소방서, 내변산민간산악구조대",안전난간
해인사지구,상왕봉 정상 1,상왕봉 정상 1,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",
해인사지구,상왕봉 정상 2,상왕봉 정상 2,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",
해인사지구,봉천대 상부 1,봉천대 상부 1,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",
해인사지구,봉천대 상부 2,봉천대 상부 2,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",
해인사지구,중봉,중봉,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",목재난간
해인사지구,중봉 하부,중봉 하부,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",철재난간
해인사지구,석조여래입상 인근,석조여래입상 인근,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",
해인사지구,칠불봉 정상,칠불봉 정상,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",
해인사지구,칠불봉 하부,칠불봉 하부,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",철재난간
해인사지구,칠불봉 하부 2,칠불봉 하부 2,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",목재난간
해인사지구,남산제일봉 정상,남산제일봉 정상,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",로프난간
해인사지구,남산제일봉 하부,남산제일봉 하부,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",철재난간
해인사지구,남산제일봉 하부 1,남산제일봉 하부 1,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",철재난간
해인사지구,남산제일봉 하부 2,남산제일봉 하부 2,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",철재난간
해인사지구,남산제일봉 하부 3,남산제일봉 하부 3,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",철재난간
해인사지구,남산제일봉 하부 4,남산제일봉 하부 4,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",철재난간
백운동지구,만물상 중부 1,만물상 중부 1,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",철재난간
백운동지구,상아덤,상아덤,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",목재난간
백운동지구,상아덤 하부,상아덤 하부,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",철재난간
백운동지구,만물상 상부 1,만물상 상부 1,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",철재난간
백운동지구,만물상 상부 2,만물상 상부 2,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",철재난간
해인사지구,남산제일봉 하부 5,남산제일봉 하부 5,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",철재난간
해인사지구,청량사 상부,청량사 상부,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",철재난간
백운동지구,만물상 중부 2,만물상 중부 2,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",철재난간
백운동지구,만물상 하부 1,만물상 하부 1,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",철재난간
백운동지구,만물상 하부 2,만물상 하부 2,1,추락위험,0,0,,"가야산구조대 11명, AED, 들것 등",철재난간
화양지구,도명산정상,도명산정상 추락위험지구,1,추락,1000,1000,화양동탐방지원센터,편성완료,없음
화양지구,도명산 정상하단 150m,도명산 정상하단 150m 추락위험지구,1,추락,1000,1000,화양동탐방지원센터,편성완료,없음
법주사지구,상환석문,상환석문 추락위험지구,1,추락,1000,1000,법주사탐방지원센터,편성완료,없음
법주사지구,배석대,배석대 추락위험지구,1,추락,1000,1000,법주사탐방지원센터,편성완료,없음
화북지구,천왕봉 헬기장 위,천왕봉 헬기장 위 추락위험지구,1,추락,1000,1000,화북탐방지원센터,편성완료,로프 1개소
화북지구,입석대,입석대 추락위험지구,1,추락,1000,1000,화북탐방지원센터,편성완료,난간 1개소
법주사지구,경업대,경업대 추락위험지구,1,추락,1000,1000,법주사탐방지원센터,편성완료,없음
화북지구,문장대 방향 1.5km,문장대 방향 1.5km 추락위험지구,1,추락,1000,1000,화북탐방지원센터,편성완료,없음
화북지구,문장대 방향 2.3km,문장대 방향 2.3km 추락위험지구,1,추락,1000,1000,화북탐방지원센터,편성완료,없음
화북지구,문장대 방향 2.4km,문장대 방향 2.4km 추락위험지구,1,추락,1000,1000,화북탐방지원센터,편성완료,없음
화북지구,문장대 철계단 옆,문장대 철계단 옆 추락위험지구,5,추락,1000,1000,화북탐방지원센터,편성완료,"로프1개소, 난간1개소"
화북지구,문장대 정상,문장대 정상 추락위험지구,5,추락,1000,1000,화북탐방지원센터,편성완료,난간1개소
화북지구,백악산에서 수안재 방향 0.6km,백악산에서 수안재 방향 0.6km 추락위험지구,1,추락,1000,1000,입석초등학교,편성완료,로프1개소
화북지구,백악산에서 수안재 방향 0.7km,백악산에서 수안재 방향 0.7km 추락위험지구,1,추락,1000,1000,입석초등학교,편성완료,로프1개소
화북지구,백악산에서 수안재 방향 1.2km,백악산에서 수안재 방향 1.2km 추락위험지구,1,추락,1000,1000,입석초등학교,편성완료,로프1개소
화북지구,백악산에서 수안재 방향 2.9km,백악산에서 수안재 방향 2.9km 추락위험지구,1,추락,1000,1000,입석초등학교,편성완료,로프1개소
화북지구,용화에서 묘봉방향 3km,용화에서 묘봉방향 3km 추락위험지구,1,추락,1000,1000,용화지킴터,편성완료,로프1개소
화북지구,용화에서 묘봉방향 3.2km,용화에서 묘봉방향 3.2km 추락위험지구,1,추락,1000,1000,용화지킴터,편성완료,로프1개소
화북지구,용화에서 묘봉방향 3.4km,용화에서 묘봉방향 3.4km 추락위험지구,1,추락,1000,1000,용화지킴터,편성완료,로프1개소
화북지구,상학봉 정상,상학봉 정상 추락위험지구,1,추락,1000,1000,용화지킴터,편성완료,없음
법주사지구,묘봉 정상,묘봉 정상 추락위험지구,1,추락,1000,1000,여적암지킴터,편성완료,없음
덕산지구,상천휴게소 전 1km 지점,가은산구간,1,추락,700,700,상천휴게소,"  차량, 무전기, 응급처치세트, 로프 등 구조장비  월악산국립공원 구조대, 제천소방서",안내간판
덕산지구,가은산 전망대 아래,가은산구간,1,추락,700,700,상천휴게소,"  차량, 무전기, 응급처치세트, 로프 등 구조장비  월악산국립공원 구조대, 제천소방서",안내간판
덕산지구,상천휴게소 전 1.5km 지점,가은산구간,1,추락,700,700,상천휴게소,"  차량, 무전기, 응급처치세트, 로프 등 구조장비  월악산국립공원 구조대, 제천소방서",안내간판
단양지구,신선봉~내궁기삼거리,도락산구간,0,추락,1500,1500,덕산분소,"  차량, 무전기, 응급처치세트, 로프 등 구조장비  월악산국립공원 구조대, 제천소방서",안내판
구천동지구,덕유산 정상 향적봉 일원,향적봉 정상(백련사~향적봉 구간),1,난간 밖 샛깃 출입 후 바위 아래 절벽으로 추락위험,5000,50,향적봉 대피소,"○ 공단재난구조대 4명, 민간산악구조대 15명, 119구조대 5명",목책난간
황점지구,삿갓재대피소에서 황점 방향 1km 지점,황점~삿갓골재 구간 / 황점지구,2,추락시 계곡 급사면으로 인해 피해 예상,500,12,삿갓재대피소," ○ 공단재난구조대 4명, 민간산악구조대 15명, 119구조대 5명","난간, 로프 등"
영각지구,서봉 육십령 방향 300m 하단,서봉~육십령 구간 / 영각지구,2,추락 위험,500,50,서봉 일원," ○ 국립공원구조대 5명, 119구조대 7명 ○ 다목적 들것 1, 로프 1, 헤드렌턴 10 등",로프 등
영각지구,서봉 육십령 방향 1.5km 지점,서봉~육십령 구간 / 영각지구,2,추락위험,500,50,육십령휴게소," ○ 국립공원구조대 5명, 119구조대 7명 ○ 다목적 들것 1, 로프 1, 헤드렌턴 10 등",로프 등
상서지구,전북 부안군 상서면 청림리 산151일원,탐방로,1,고지대 추락위험,1000,50,상서분소주차장,구조대: 부안소방서,안전난간
내변산지구,전북 부안군 변산면 중계리 산9510 일원,탐방로,1,고지대 추락위험,4000,50,"내변산분소주차장, 남여치주차장","구조대: 부안소방서, 내변산민간산악구조대",안전난간
내소지구,전북 부안군 진서면 석포리 산821,탐방로,1,고지대 추락위험,5000,500,내소분소주차장,"구조대: 부안소방서, 내변산민간산악구조대",안전난간
쌍곡지구,청석재 상단 100m,청석재 상단 100m 추락위험지구,2,추락,1000,1000,쌍곡탐방지원센터,편성완료,로프 1개소
쌍곡지구,중절모 바위,중절모 바위 추락위험지구,1,추락,1000,1000,쌍곡탐방지원센터,편성완료,"로프1개소, 난간1개소"
쌍곡지구,중절모 바위 상단 20m,중절모 바위 상단 20m 추락위험지구,2,추락,1000,1000,쌍곡탐방지원센터,편성완료,없음
쌍곡지구,칠보산정상(경관해설판),칠보산정상(경관해설판) 추락위험지구,2,추락,1000,1000,쌍곡탐방지원센터,편성완료,로프 1개소
쌍곡지구,거북바위,거북바위 추락위험지구,3,추락,1000,1000,쌍곡탐방지원센터,편성완료,"로프 1개소, 난간 1개소"
쌍곡지구,아가봉 정상에서 옥녀봉 방향 150m 지점,아가봉 정상에서 옥녀봉 방향 150m 지점 추락위험지구,2,추락,1000,1000,갈론지킴터,편성완료,로프1개소
쌍곡지구,안장바위(1206지점),안장바위(1206지점) 추락위험지구,1,추락,1000,1000,갈론지킴터,편성완료,없음
구룡지구,구룡지구 육모정 지역 용소,용소,1,추락,5000,5000,지리산전북사무소,국립공원구조대,통제로프
뱀사골지구,반선~요룡대 구간 석실,석실,4,추락,5000,5000,뱀사골탐방안내소,국립공원구조대,철재 및 목재 난간
정릉지구,칼바위정상 데크구간,칼바위,0,추락,50,5,보국문,"북한산국립공원구조대 4명, 로프, 들것, 연막탄, 안전밸트, 헬멧 등등,  ",목재데크
